Algorithm,DataType,DataSize,Time_ms,Comparisons,Verified
Merge Sort,Common Prefix,1400,3.070600,94824,true
Quick Sort,Common Prefix,1400,6.564000,121682,true
Radix Sort,Common Prefix,1400,2.572000,20251,true
Radix+Quick Sort,Common Prefix,1400,5.316400,56174,true
Merge Sort,Random,1500,2.040600,33048,true
Quick Sort,Random,1500,5.399000,41365,true
Radix Sort,Random,1500,1.721600,6720,true
Radix+Quick Sort,Random,1500,4.286000,19469,true
Merge Sort,Sorted,1500,1.356800,20605,true
Quick Sort,Sorted,1500,5.352000,42294,true
Radix Sort,Sorted,1500,1.758400,6731,true
Radix+Quick Sort,Sorted,1500,4.300400,19613,true
Merge Sort,Reverse Sorted,1500,1.403200,18902,true
Quick Sort,Reverse Sorted,1500,5.279400,39633,true
Radix Sort,Reverse Sorted,1500,1.724400,6715,true
Radix+Quick Sort,Reverse Sorted,1500,4.264400,19542,true
Merge Sort,Almost Sorted,1500,1.898600,30024,true
Quick Sort,Almost Sorted,1500,5.278800,40034,true
Radix Sort,Almost Sorted,1500,1.697400,6722,true
Radix+Quick Sort,Almost Sorted,1500,4.313400,19433,true
Merge Sort,Common Prefix,1500,3.380200,102937,true
Quick Sort,Common Prefix,1500,6.881600,128822,true
Radix Sort,Common Prefix,1500,2.799800,21680,true
Radix+Quick Sort,Common Prefix,1500,5.853000,61654,true
Merge Sort,Random,1600,2.244600,35757,true
Quick Sort,Random,1600,5.785400,42929,true
Radix Sort,Random,1600,1.863200,7188,true
Radix+Quick Sort,Random,1600,4.531800,21268,true
Merge Sort,Sorted,1600,1.439600,22116,true
Quick Sort,Sorted,1600,5.751200,45327,true
Radix Sort,Sorted,1600,1.764200,7168,true
Radix+Quick Sort,Sorted,1600,4.621400,21171,true
Merge Sort,Reverse Sorted,1600,1.501800,20376,true
Quick Sort,Reverse Sorted,1600,5.612000,44446,true
Radix Sort,Reverse Sorted,1600,1.924000,7221,true
Radix+Quick Sort,Reverse Sorted,1600,4.611000,21169,true
Merge Sort,Almost Sorted,1600,1.944000,32122,true
Quick Sort,Almost Sorted,1600,5.634400,43215,true
Radix Sort,Almost Sorted,1600,1.845200,7176,true
Radix+Quick Sort,Almost Sorted,1600,4.576000,21026,true
Merge Sort,Common Prefix,1600,3.726600,111011,true
Quick Sort,Common Prefix,1600,7.363800,136086,true
Radix Sort,Common Prefix,1600,2.919600,23210,true
Radix+Quick Sort,Common Prefix,1600,6.300800,66422,true
Merge Sort,Random,1700,2.379600,38406,true
Quick Sort,Random,1700,6.217000,47395,true
Radix Sort,Random,1700,1.996600,7700,true
Radix+Quick Sort,Random,1700,4.884400,23190,true
Merge Sort,Sorted,1700,1.545200,23730,true
Quick Sort,Sorted,1700,6.069600,47315,true
Radix Sort,Sorted,1700,1.956400,7734,true
Radix+Quick Sort,Sorted,1700,4.830200,23288,true
Merge Sort,Reverse Sorted,1700,1.658600,21910,true
Quick Sort,Reverse Sorted,1700,5.974600,47959,true
Radix Sort,Reverse Sorted,1700,2.097200,7754,true
Radix+Quick Sort,Reverse Sorted,1700,4.933600,23182,true
Merge Sort,Almost Sorted,1700,2.126200,34807,true
Quick Sort,Almost Sorted,1700,6.020000,46582,true
Radix Sort,Almost Sorted,1700,2.075600,7721,true
Radix+Quick Sort,Almost Sorted,1700,4.865000,23124,true
Merge Sort,Common Prefix,1700,3.806200,119036,true
Quick Sort,Common Prefix,1700,8.296000,159600,true
Radix Sort,Common Prefix,1700,3.164000,24721,true
Radix+Quick Sort,Common Prefix,1700,6.658000,73032,true
Merge Sort,Random,1800,2.600200,41154,true
Quick Sort,Random,1800,6.498800,51512,true
Radix Sort,Random,1800,2.128800,8165,true
Radix+Quick Sort,Random,1800,5.212600,25054,true
Merge Sort,Sorted,1800,1.642800,25169,true
Quick Sort,Sorted,1800,6.447200,51869,true
Radix Sort,Sorted,1800,2.212200,8232,true
Radix+Quick Sort,Sorted,1800,5.287800,24905,true
Merge Sort,Reverse Sorted,1800,1.738200,23661,true
Quick Sort,Reverse Sorted,1800,6.434000,51302,true
Radix Sort,Reverse Sorted,1800,2.191800,8210,true
Radix+Quick Sort,Reverse Sorted,1800,5.212400,24939,true
Merge Sort,Almost Sorted,1800,2.282400,37164,true
Quick Sort,Almost Sorted,1800,6.394000,51387,true
Radix Sort,Almost Sorted,1800,2.093800,8186,true
Radix+Quick Sort,Almost Sorted,1800,5.195600,25220,true
Merge Sort,Common Prefix,1800,4.181600,127124,true
Quick Sort,Common Prefix,1800,8.603800,161592,true
Radix Sort,Common Prefix,1800,3.397400,26234,true
Radix+Quick Sort,Common Prefix,1800,7.081600,77830,true
Merge Sort,Random,1900,2.761600,43784,true
Quick Sort,Random,1900,6.756200,54125,true
Radix Sort,Random,1900,2.355000,8718,true
Radix+Quick Sort,Random,1900,5.576200,27023,true
Merge Sort,Sorted,1900,1.762000,26572,true
Quick Sort,Sorted,1900,6.737000,52801,true
Radix Sort,Sorted,1900,2.252000,8700,true
Radix+Quick Sort,Sorted,1900,5.437400,26792,true
Merge Sort,Reverse Sorted,1900,1.866600,25311,true
Quick Sort,Reverse Sorted,1900,6.706800,53656,true
Radix Sort,Reverse Sorted,1900,2.362000,8688,true
Radix+Quick Sort,Reverse Sorted,1900,5.427800,26892,true
Merge Sort,Almost Sorted,1900,2.462400,39717,true
Quick Sort,Almost Sorted,1900,6.677800,52669,true
Radix Sort,Almost Sorted,1900,2.346400,8714,true
Radix+Quick Sort,Almost Sorted,1900,5.410000,26856,true
Merge Sort,Common Prefix,1900,4.466400,135305,true
Quick Sort,Common Prefix,1900,8.968400,171131,true
Radix Sort,Common Prefix,1900,3.680200,27763,true
Radix+Quick Sort,Common Prefix,1900,7.444200,83668,true
Merge Sort,Random,2000,2.853000,46571,true
Quick Sort,Random,2000,7.240200,58285,true
Radix Sort,Random,2000,2.446000,9166,true
Radix+Quick Sort,Random,2000,5.797400,28644,true
Merge Sort,Sorted,2000,1.781000,27742,true
Quick Sort,Sorted,2000,7.125600,59551,true
Radix Sort,Sorted,2000,2.385200,9212,true
Radix+Quick Sort,Sorted,2000,5.774800,28684,true
Merge Sort,Reverse Sorted,2000,1.956400,27160,true
Quick Sort,Reverse Sorted,2000,7.113000,56780,true
Radix Sort,Reverse Sorted,2000,2.533800,9220,true
Radix+Quick Sort,Reverse Sorted,2000,5.804400,28769,true
Merge Sort,Almost Sorted,2000,2.514000,41559,true
Quick Sort,Almost Sorted,2000,7.170400,57741,true
Radix Sort,Almost Sorted,2000,2.587000,9235,true
Radix+Quick Sort,Almost Sorted,2000,5.745200,28635,true
Merge Sort,Common Prefix,2000,4.665600,143590,true
Quick Sort,Common Prefix,2000,9.692400,183536,true
Radix Sort,Common Prefix,2000,3.843600,29224,true
Radix+Quick Sort,Common Prefix,2000,7.768000,90104,true
Merge Sort,Random,2100,2.982400,49334,true
Quick Sort,Random,2100,7.723800,61318,true
Radix Sort,Random,2100,2.690800,9724,true
Radix+Quick Sort,Random,2100,6.157800,30829,true
Merge Sort,Sorted,2100,1.936800,29424,true
Quick Sort,Sorted,2100,7.423000,59834,true
Radix Sort,Sorted,2100,2.529400,9697,true
Radix+Quick Sort,Sorted,2100,6.087400,30877,true
Merge Sort,Reverse Sorted,2100,2.058800,28698,true
Quick Sort,Reverse Sorted,2100,7.554200,61562,true
Radix Sort,Reverse Sorted,2100,2.679200,9734,true
Radix+Quick Sort,Reverse Sorted,2100,6.065600,31109,true
Merge Sort,Almost Sorted,2100,2.609800,44114,true
Quick Sort,Almost Sorted,2100,7.481400,63083,true
Radix Sort,Almost Sorted,2100,2.591400,9717,true
Radix+Quick Sort,Almost Sorted,2100,6.112200,30882,true
Merge Sort,Common Prefix,2100,5.016800,152057,true
Quick Sort,Common Prefix,2100,9.761400,189331,true
Radix Sort,Common Prefix,2100,4.140600,30733,true
Radix+Quick Sort,Common Prefix,2100,8.414400,95215,true
Merge Sort,Random,2200,3.182200,52151,true
Quick Sort,Random,2200,7.922000,65212,true
Radix Sort,Random,2200,2.816000,10245,true
Radix+Quick Sort,Random,2200,6.429000,32825,true
Merge Sort,Sorted,2200,2.050800,31640,true
Quick Sort,Sorted,2200,7.929600,67039,true
Radix Sort,Sorted,2200,2.780200,10272,true
Radix+Quick Sort,Sorted,2200,6.389000,32587,true
Merge Sort,Reverse Sorted,2200,2.196200,29913,true
Quick Sort,Reverse Sorted,2200,7.798400,65287,true
Radix Sort,Reverse Sorted,2200,2.935200,10275,true
Radix+Quick Sort,Reverse Sorted,2200,6.441000,32632,true
Merge Sort,Almost Sorted,2200,2.837400,47334,true
Quick Sort,Almost Sorted,2200,7.763600,64083,true
Radix Sort,Almost Sorted,2200,2.865000,10302,true
Radix+Quick Sort,Almost Sorted,2200,6.387400,32923,true
Merge Sort,Common Prefix,2200,5.321200,160622,true
Quick Sort,Common Prefix,2200,10.447000,197534,true
Radix Sort,Common Prefix,2200,4.578200,32249,true
Radix+Quick Sort,Common Prefix,2200,8.839000,101242,true
Merge Sort,Random,2300,3.400200,55036,true
Quick Sort,Random,2300,8.267000,66999,true
Radix Sort,Random,2300,3.062600,10769,true
Radix+Quick Sort,Random,2300,6.824800,34847,true
Merge Sort,Sorted,2300,2.212800,33630,true
Quick Sort,Sorted,2300,8.411600,69348,true
Radix Sort,Sorted,2300,3.007200,10784,true
Radix+Quick Sort,Sorted,2300,6.673800,35005,true
Merge Sort,Reverse Sorted,2300,2.344200,31347,true
Quick Sort,Reverse Sorted,2300,8.315200,69398,true
Radix Sort,Reverse Sorted,2300,3.039600,10771,true
Radix+Quick Sort,Reverse Sorted,2300,6.683600,34957,true
Merge Sort,Almost Sorted,2300,3.071000,50399,true
Quick Sort,Almost Sorted,2300,8.199800,67174,true
Radix Sort,Almost Sorted,2300,3.002800,10796,true
Radix+Quick Sort,Almost Sorted,2300,6.838800,34978,true
Merge Sort,Common Prefix,2300,5.626400,169140,true
Quick Sort,Common Prefix,2300,10.731800,209294,true
Radix Sort,Common Prefix,2300,4.617800,33788,true
Radix+Quick Sort,Common Prefix,2300,9.233800,107092,true
Merge Sort,Random,2400,3.561800,57918,true
Quick Sort,Random,2400,8.714000,72385,true
Radix Sort,Random,2400,3.176600,11272,true
Radix+Quick Sort,Random,2400,6.954800,36825,true
Merge Sort,Sorted,2400,2.305800,35642,true
Quick Sort,Sorted,2400,8.699200,73446,true
Radix Sort,Sorted,2400,3.118200,11300,true
